city	dialect	source	target
Doha	Emirati	ابغي احول كم ين ياباني للدولار الامريكي.	أريد تحويل الين الياباني إلى دولار أمريكي .
Jerusalem	Palestinian	بدي أبعت هاي الشناط لطوكيو، لو سمحت.	هذا كل شيء لهذا الحين . بكم أدين لك ؟
Doha	Emirati	من مخرج الفلم؟	من مخرج الفيلم ؟
Doha	Emirati	طوكيو صفر ثلاثة اثنين اربعة ستة صفر خمسة سبعة تسعة.	طوكيو صفر ثلاثة اثنان أربعة ستة صفر خمسة سبعة تسعة .
Cairo	Egyptian	لم تنزل بالسلم تحت، هتلاقي المكتب على طول.	استقل المسعد هابطا ، وستجد المكتب هناك مباشرة .
Doha	Emirati	اي نوع صوص؟	أي نوع من الملابس ؟
Alexandria	Egyptian	أنا عاوز شعرى يتظبط زى ما كان.	أنا مدبرة منزل .
Cairo	Egyptian	رجلي بتوجعني.	قدمي تؤلمني .
Cairo	Egyptian	مين المصصمين بتوعك؟	من المصممون ؟
Cairo	Egyptian	انا عايز هامبرجر، بطاطس محمرة و ليموناده .	أريد هامبورجر وبطاطس مقلية وعصير ليمون .
Doha	Emirati	تبغي قهوة او شاهي بعد الاكل؟	أتريد قهوة أم شاياً بعد الوجبة .
Cairo	Egyptian	إزاي أروح هناك؟	كيف أصل إلى هناك ؟
Cairo	Egyptian	ممكن آخد اسمك لو سمحت؟	ممكن أعرف اسمك من فضلك ؟
Salt	Jordanian	من وين بقدر اشتري بطاقة تلفون؟	أود بعض الأدوية لعسر الهضم .
Cairo	Egyptian	ممكن تقوللي ازاي اعمل مكالمة تليفون؟	هل لك أن تخبرني كيف أجرى مكالمة تليفونية ؟
Cairo	Egyptian	ممكن تديني تخمين عن التكلفة؟	هل لك أن تعطيني تقديراً بالتكلفة ؟
Cairo	Egyptian	انا من طوكيو .	أنا من طوكيو .
Jerusalem	Palestinian	بشكرك من كل قلبي.	أود الحصول على واحدة كبيرة .
Jerusalem	Palestinian	قديش عمر بنتك؟	من فضلك أخبريه أنت يامادا قد اتصل .
Cairo	Egyptian	هو ده نهاية الانحدار؟	ذلك الحد الأدنى للسعر .
Doha	Emirati	ابغي غرفة مزدوجة، لو سمحت.	أريد غرفة مزدوجة ، من فضلك .
Doha	Emirati	لازم نفهمه.	يجب أن نفهمه .
Doha	Emirati	ممنوع السباحة هني؟	ألا يسمح بالسباحة هنا ؟
Alexandria	Egyptian	تمام، بس مش البينشات المكشوفة. حر أوى النهاردة.	إنها مبهرجة جدا .
Doha	Emirati	يصير احجز خمس كراسي مع بعض في نفس الصفة؟	هل يمكن أن أحجز خمسة مقاعد في الصف نفسه .
Doha	Emirati	اروح الصالون مرة كل ثلاث شهور.	أنا أذهب إلى مركز التجميل مرة كل ثلاثة أشهر .
Cairo	Egyptian	ممكن اساعد بأى طريقة؟	هل يمكنني المساعدة بأي وسيلة ؟
Doha	Emirati	كم مرة لازم اقول لك نفس الكلام؟	كم مرة يجب علىّ أن أعيد هذا الأمر على مسامعك ؟
Cairo	Egyptian	تذكرة واحده، من فضلك .	تذكرة واحدة , من فضلك .
Cairo	Egyptian	لأ، مش رحتش لنيويورك .	لا , لم أذهب إلى نيويورك .
Salt	Jordanian	ضربة كويسة . بس برا .	نعم ، عندي كرتونتان .
Doha	Emirati	عجبتني خدمة الترحيب بشامبين عقب ما نركب. خلني اشرب بصحتك.	أحب هذه الخدمة بتقديم شامبانيا للتحية بعد الإقلاع . دعني أشرب فى صحتك .
Cairo	Egyptian	عايز أشتري حاجة من الحاجات المميزة اللي عندك.	أريد أن أشتري اثنين من بضائعكم الإقليمية المميزة .
Doha	Emirati	غير غرفتي، لو سمحت. ريحتها غريبة.	بدّلوا غرفتي ، من فضلكم . فهي تنبعث منها رائحة غريبة .
Cairo	Egyptian	هى في الاوكازيون دلوقتي؟	هل يسري التخفيض الآن ؟
Amman	Jordanian	بدي غلاية مي.	شكراً يا سيدي .
Cairo	Egyptian	آخد المترو منين؟	أين أجد مترو الأنفاق ؟
Amman	Jordanian	بتقدر تضيق هاد البنطلون؟	أنا على الطريق السريع الأول ثمانين بالقرب من مخرج بيركيلي .
Doha	Emirati	مافي فوط صغيرة واجد.	لا يوجد ما يكفي من قماش الحمام .
Cairo	Egyptian	ممكن انكم تدوني خصم؟	هل يمكن أن تعطني خصماً .
Cairo	Egyptian	عندكم شويه نضاف؟	هل عندكم أي منها نظيف ؟
Doha	Emirati	انا واجد عطشان. كاس كبير، لو سمحت.	أشعر بعطش شديد . أريد كوباً ضخما ، من فضلك .
Jerusalem	Palestinian	هه. صباح الخير بتوقيتك. أوكي.	دعني أري ذلك ، نعم ـ اليوم يوجد غذاء خاص سوف يقدم سريعاً .
Cairo	Egyptian	ايوه، عندنا تسعة و تسعين صنف وجبات .	نعم ، عندنا تسعة وتسعين نوعاً من الوجبات الخفيفة .
Doha	Emirati	وين الصيدلية؟	أين الصيدلية ؟
Doha	Emirati	انا اقول حلق.	أحبذ حلق .
Cairo	Egyptian	عايز الغي ميعادي مع مستر ايه .	أود إلغاء موعدي مع السيد إيه ؟
Cairo	Egyptian	ما عملتش تليفونات .	لم أجر أي مكالمات تليفونية .
Cairo	Egyptian	ممكن نستنى تربيزة؟	هل لنا أن ننتظر مائدة ؟
Doha	Emirati	انتي حامل؟	هل أنت حامل ؟
Cairo	Egyptian	حاخد اوضه بخمستاشر دولار .	سآخذ غرفة غرفه بخمسة عشر دولارا .
Doha	Emirati	قميصي معرق.	قميصي رائحته عرق .
Cairo	Egyptian	"لسه عندك تذاكر ""بيج ريفر"" النهاردة بليل؟"	هل مازال معك تذاكر إلى بيج ريفر لهذه الليلة ؟
Cairo	Egyptian	من فضلك عايز كورس اقدر اخلصة في اسبوع .	من فضلك اعطني تصريحاً سارياً لمدة أسبوع .
Cairo	Egyptian	فيه سوق قريب من هنا؟	هل يوجد سوق بالقرب من هنا ؟
Cairo	Egyptian	غيرلي اوضتي، من فضلك .	غيـّـر غرفتي , من فضلك .
Doha	Emirati	انت واجد طيب.	أنت لطيف جداً .
Doha	Emirati	الطرف الثاني على الخط.	الطرف الآخر على الخط .
Cairo	Egyptian	هاخد تلتمية جرام من ده.	سآخذ ثلاثمائة جرام من هذا .
Cairo	Egyptian	ممكن تنزلي شنطي عالساعة سبعة الصبح؟	هل يمكن أن تحضر أمتعتي أسفل عند السابعة صباحاً ؟
Aswan	Egyptian	واحد من مية.	هل يمكننا ترك أشياءنا ما عدا الأشياء القيمة في الحافلة ؟
Cairo	Egyptian	ممكن تقوللي لما نوصل، لو سمحت؟	هلا أخبرتني عندما نصل إلى هناك ؟
Cairo	Egyptian	مش ضروري بعد ما الوجع خلص .	ليس ضرورياً بعد توقف الألم .
Cairo	Egyptian	لازم اروح السفارة الياباني .	لابد أن أتجه إلى السفارة اليابانية .
Doha	Emirati	مسامحة بس في غلط في الفاتورة.	أخشى أن يكون هناك خطأ في الفاتورة .
Doha	Emirati	متى نهائيات دوري السلة الامريكي للمحترفين؟	متى نهائيات الدوري الوطني لكرة السلة ؟
Aswan	Egyptian	ايوة، انت لازم تشرب مشروب على الاقل.	من فضلك سجل اسمك قبل تسعة صفر تسعة صباحا .
Cairo	Egyptian	فين بتخطط تتفسح في البلد ديه؟	ما الأماكن التي خططت لزيارتها في هذا البلد ؟
Doha	Emirati	الوحيدة اللي باقية عندنا لليوم هي جولة المدينة. الباقي كلهم في الليل.	الجولة الوحيدة الباقية لليوم هي جولة المدينة . كل الجولات الأخرى هي جولات ليلية .
Doha	Emirati	هي ما تفهم انجليزي كلش.	إنها لا تفهم الإنجليزية مطلقا .
Amman	Jordanian	شو الماركات اللي عندك؟	يا له من شيء غريب . إنه يبدو كطبق طائر في السماء .
Doha	Emirati	احد حاول يدخل. شاب ملثم، اظن.	حاول أحد الأشخاص دخول الشقة . مجرم شاب على ما أظن .
Doha	Emirati	تقدر تستخدم التصريح في كل القطارات.	يسعك استخدام هذه التذكرة لكافة القطارات .
Doha	Emirati	ابغي اسوي حجز حق جولة سياحية، لو سمحت.	أود أن أعمل حجز لجولة ، من فضلك .
Doha	Emirati	ابغي اروح اوبرا. وين تنعرض؟	أريد الذهاب إلى دار أوبرا . أين تقام حفلاتها ؟
Doha	Emirati	هذاك الفندق فوق التل له طلة حلوة على المدينة، صح؟	هذا الفندق على قمة التل له منظر جميل على المدينة , أليس كذلك ؟
Cairo	Egyptian	دول سبعين دولار.	هذه سبعون دولار .
Doha	Emirati	عطني بوكك.	اعطني محفظتك .
Cairo	Egyptian	عايز احجز ميعاد عالساعة عشرة الصبح .	أريد تحديد موعد في العاشرة صباحاً .
Cairo	Egyptian	عايزبن اوضه بواجهه بحرية .	نريد غرفة تطل على الشاطئ .
Cairo	Egyptian	اكيد، و ادي المسطرده .	بالتأكيد ، ها هي عجينة الخردل .
Alexandria	Egyptian	من فضلك حطه فى شنطة غسيل وسيبه هناك.	هل يمكن أن ترسلها إلى عنواني في اليابان عن طريق بريد الطرود الدولي وتحصل الثمن من هناك ؟
Doha	Emirati	والله ودي، بس انا واجد مشغول حالياً.	أود ذلك , ولكنني مشغول الآن .
Doha	Emirati	اي. كنا واجد مشغولين امس، بس اليوم المكان ميت. متى تطير طيارتك؟	بالتأكيد . كنا مشغولون للغاية أمس ، بيد أن المكان خاو اليوم . متى ستقلع طائرتك .
Cairo	Egyptian	أنا عايز وقت أكتر عشان أشحن.	أريد مزيد من الوقت لكي أجهز حقائبي .
Aswan	Egyptian	كراسينا بعاد عن بعض.	أريد هذه .
Doha	Emirati	متى تخلص جولة الباص؟	متى بالتقريب ستنتهي جولة الحافلة ؟
Doha	Emirati	ممكن نشوف ابواك جلدية؟	هل يمكننا أن نلقي نظرة على حافظات جلدية ؟
Doha	Emirati	نص لتر ميلد، لو سمحت.	قدح جعة خفيفة ، من فضلك .
Alexandria	Egyptian	لو اشتريت دة كمان، دة هيعمل كمية من غير رسوم جمركية.	يبدو أن كاميراتي كسرت . هل يمكنك إلقاء نظرة عليها ؟
Cairo	Egyptian	إنت مخطط إنك تبدأ تبيع منتجاتك في أمريكا؟	هل تخطط للبدء في بيع منتجاتك في الولايات المتحدة ؟
Doha	Emirati	المتحف فاتح اليوم؟	هل المتحف مفتوح اليوم ؟
Doha	Emirati	كلهم طيبين الحمدلله، شكراً.	جميعهم في صحة جيدة , شكراً لك .
Cairo	Egyptian	فيه عندك اكل مش حراق او مشطشط؟	ألا يوجد طعام متبل وليس حارا جدا ؟
Doha	Emirati	باكل هني.	سأتناول طعامي هنا .
Doha	Emirati	بغيت اسوي جيك اوت. غرفة ميتين وستة وثلاثين.	أريد أن أغادر . الغرفة رقم اثنان ، ثلاثة وستون .
Cairo	Egyptian	معايا حوالي الفين و خمسميت دولار بالين الياباني .	يوجد لدى حوالي ألفي وخمسمائة دولار بالين الياباني .
Doha	Emirati	الساعة ثمان في الليل-ليش وايد سفر برع؟	إن الساعة بالفعل هي الثامنة مساءاً ، فلماذا لا تزال مضيئة بالخارج هكذا ؟
Cairo	Egyptian	ممكن أطلب كوباية خمرة؟	هل لي أن أطلب كأس نبيذ ؟
Doha	Emirati	هذي شريط فيديو سجلته حق رفيجي.	هذا هو شريط الفيديو الذي سجلته لصديقي .
Cairo	Egyptian	هو لازم أرجع أعمل تأكيد تاني؟	هل يجب على أن أقوم بإعادة تأكيد للحجز .
Doha	Emirati	هالجولة فيها زيارة حق برج سيرز؟	هل تشمل هذه الرحلة زيارة لبرج سيرز ؟
Salt	Jordanian	اتوقع انو مبالغ فيه .	أعطني تعليمات .
Doha	Emirati	على الساعة ثمان.	حوالي الساعة الثامنة .
Cairo	Egyptian	مفروض ادفع عربون؟	هل أدفع مبلغا مقدما ؟
Doha	Emirati	لازم اسوي تأمين.	إنني أحتاج إلى شراء بوليصة تأمين .
Salt	Jordanian	العشرة دولار رح يكفو بالتكسي؟	أعاني بشكل مزمن من الربو .
Doha	Emirati	بوصل على الساعة اربع المسا.	سأكون هناك في حوالي الرابعة بعد الظهر .
Doha	Emirati	ممكن اوراق بمقاس الأوراق القانونية تدخل؟	هل يناسب ورق مقاس ثمانية ونصف في ثلاثة عشر بوصة .
Cairo	Egyptian	لف شمال لما تعدى كوبرى المشاه.	اتجه يساراً بعد أن تجتاز كوبري المشاة هذا .
Cairo	Egyptian	خلي قصتي نازلة، لو سمحت.	اجعل قصة الشعر تتدلى لأسفل , من فضلك .
Cairo	Egyptian	عاوز شوية بنطلونات.	أريد عدد من البنطلونات .
Doha	Emirati	ابغي اكلم مرشدنا. ممكن تخبرني شلون اتصل؟	أريد الاتصال بمرشدنا . هل لك أن تدلني كيف أجري اتصالاً ؟
Doha	Emirati	شتعرف عنه؟	ماذا تعرف عنه ؟
Cairo	Egyptian	عايز شامبو للقشرة .	أريد مستحضر ضد قشرة الشعر .
Doha	Emirati	كاكاو، لو سمحت.	شيكولاته من فضلك .
Salt	Jordanian	بدي شنتة كيلي لون احمر نفس ستايل هاي.	أرغب في بعض السجق ، من فضلك .
Doha	Emirati	آسف، سيد شيمادا سيد رسل طالع.	أنا آسف يا سيد شيمادا , السيد راسل في الخارج ؟
Aswan	Egyptian	إحنا لازم نروح هناك تاني مع بعض.	أي من هذه الأحذية للبيع ؟
Doha	Emirati	ابغي اجرب اكل ايطالي.	أريد أن أجرب بعض الطعام الإيطالي .
Cairo	Egyptian	حأعيد تصميم المطبخ .	إنني أعيد تخطيط المطبخ ؟
Doha	Emirati	بلوزتي فيها شق. تقدر تخيطه لي، لو سمحت؟	هناك قطع في بلوزتي . أتساءل هل يمكنك أن تخيطيه لي ، من فضلك ؟
Salt	Jordanian	تسعين دولار لتذكرة اتجاه واحد. كاش و لا بطاقة؟	هل لديك هذا بلون احمر ؟
Alexandria	Egyptian	الجنينة القومية دى إسمها إيه؟	حدث مؤخراً انتشار في خبراء الطعام ، أليس كذلك ؟
Doha	Emirati	حطهم عدل وفي مكان سهل ينشاف.	ثبتها جيدا ، وفي مكان ظاهر .
Doha	Emirati	احنا انترسنا.	لقد أكلنا كثيرا .
Doha	Emirati	هذي الأمتعة من رحلة جيه إيه إل صفر واحد؟	هل هذه هي حقائب الرحلة جال صفر واحد ؟
Doha	Emirati	يصير احجز غرفتين فرديتين بدال مزدوجتين؟	هل يمكن أن أحجز حجرتين لفردين بدلا من حجرة واحدة مزدوجة ؟
Doha	Emirati	ممكن كولا، لو سمحت؟	هل يمكن أن أخذ كولا ، من فضلك ؟
Cairo	Egyptian	رحلتي بتاعة خطوط اليونايتد واحد زيرو تلاتة يوم عشرة مارس.	رحلتي يو إي واحد صفر ثلاثة في العاشر من مارس .
Cairo	Egyptian	أنا عايز على الأقل نص ساعة عشان أجهز شنطي.	احتاج نصف ساعة على الأقل لإعداد حقائبي .
Doha	Emirati	انا مع اهلي، عشان جذي ماقدر اعطيك رقم غرفتي.	إني مع أسرتي . ولذا لا يسعني أن أعطيك رقم غرفتي .
Doha	Emirati	جيزبرقر وبطاطس.	أريد سندويتش برجر بالجبن ومقليات .
Doha	Emirati	عندك سجل بالمكان اللي استخدمتهم فيه؟	هل لديك سجل بمكان استخدامك لهم ؟
Aswan	Egyptian	ده بس لو بتاعك، حضرتك. ههههه، أنا بهزر معاك.	ما هو نظام الاسترداد ؟
Cairo	Egyptian	من فضلك وريني انا فين عالخريطة ديه .	من فضلك أرني أين أنا على هذه الخريطة .
Cairo	Egyptian	امشي علطول طوالي من غير ما تحود لحد ما توصل لفندق هوب.	استمر في الاتجاه المستقيم حتى تصل إلى شارع هوب .
Cairo	Egyptian	ممكن أجر معدات غطس؟	هل أستطيع تأجير أداة للتنفس أثناء السباحة ؟
Doha	Emirati	ما بحصل شي جذي في اليابان. بشتريه.	لن أجد شيئا مثل هذا في اليابان . سوف اشتريها .
Doha	Emirati	عادي تسأل اذا في احد ممكن ياخذ رحلة متأخرة؟	هل يمكنك أن تسأل عن إمكانية ركوب طائرة تالية ؟
Amman	Jordanian	محفظة فيها مية دولار وبطاقتين إئتمان.	هذه آخر إضافة لنا لخط التعبئة . نحن نعبء حوالي ستمائة صندوق كل يوم .
Aswan	Egyptian	خليلي القصة تنزل لتحت، لو سمحت.	هل يمكنك أن تخبرني كيف أذهب إلى هناك ؟
Doha	Emirati	خدمة الغرف، لو سمحت. غرفة رقم ألف وخمسطعش.	خدمة الغرف ، من فضلك . رقم الغرفة هو عشرة خمسة عشر .
Cairo	Egyptian	في حمام في المحطة.	في غرفة انتظار بالمحطة .
Cairo	Egyptian	هو ممكن آخده أسرع؟ عشان أنا محتاجه بأسرع وقت ممكن.	هل يمكنني أن استلمها أسرع ؟ لأنني احتاجها في أسرع وقت ممكن .
Doha	Emirati	اي، في حد ادنى شراب واحد.	نعم , يوجد مشروب على الأقل .
Amman	Jordanian	بالآخر ما حبيت اللون. ممكن أرجع هاد؟	لقد أمضيت وقتاً ممتعاً اليوم .
Cairo	Egyptian	شنطتي باظت خالص.	لقد أتلفت حقيبتي .
Doha	Emirati	لا، الصراحة، بسبب الاسعار المرتفعة، لازم اعيش في بيتي في كوينز واللي ياخذ ساعتين روحة ورجعة.	لا . في الحقيقة بسبب ارتفاع الأسعار ، يتعين علي أن أعيش بالمنزل القائم بمنطقة كوينز ويتطلب الأمر أن أسافر بالقطار في رحلة تستمر ساعتين .
Cairo	Egyptian	اديني محفظتك.	اعطني محفظتك .
Cairo	Egyptian	بياخد يوم كامل. المرشد هايكون هنا عشان ياخدك الساعة تسعة الصبح.	إنها تستغرق يوماً كاملاً . مرشد الدولة سيكون هنا ليأخذنا في تمام الساعة التاسعة صباحاً .
Doha	Emirati	ابغي شامبو حق الشعر العادي.	أريد شامبو للشعر العادي .
Cairo	Egyptian	التذكرة ديه لسه شغاله؟	هل ما زالت هذه التذكرة متاحة ؟
Doha	Emirati	صح. صج بستانس اذا شفته مرة ثانية.	هذا صواب . سأتمتع حقاً برؤيته مجدداً .
Aswan	Egyptian	ياريت.	هل لديكم مرشد ذو خبرة ؟
Amman	Jordanian	يا بتصلحه يا بتبدله، لو سمحت.	فقدت حقيبتي .
Doha	Emirati	نبغي طاولة في الزاوية.	نرغب في مائدة في الركن .
Cairo	Egyptian	كلهم بصحة كويسة. شكرا ليك.	جميعهم في صحة جيدة , شكراً لك .
Cairo	Egyptian	لو سمحت أطلب تاكسي الساعة أتنين بعد الضهر.	من فضلك استدعي سيارة أجرة في الساعة الثانية ظهراً .
Doha	Emirati	لو سمحت عدل خطة بعد الظهر.	من فضلك عدل خطة بعد الظهر ؟
Cairo	Egyptian	عندك اتوبيس للمطار؟	هل لديك حافلة إلى المطار ؟
Doha	Emirati	بوابة الصعود مالتك رقمها سبعطعش.	بوابة ركوبك الطائرة رقم سبعة عشر .
Amman	Jordanian	بتقدر تحكيلي تكلفة هاي المكالمة؟	لم تعجبني هذه الحجرة . هل من الممكن أن أرى حجرة أخرى ؟
Doha	Emirati	عندك خريطة للشارع؟	هل لديك خريطة للشوارع ؟
Doha	Emirati	عندك ساعة جيب؟	هل لديكم أية ساعات للجيب ؟
Cairo	Egyptian	طبق المحار بتاعنا خفيف نوعا ما.	طبق المحار الخاص بنا خفيف إلى حد ما .
Amman	Jordanian	ليش هيك صار؟	خمسة وثمانين بنساً .
Doha	Emirati	شرايك بقهوة؟	ما رأيك في بعض القهوة ؟
Cairo	Egyptian	وبعدين، خططك إيه لبكرة؟	إذن ، ما هي خططك بالنسبة لباكر ؟
Doha	Emirati	البسه في اليسار؟	هل ارتديها إلى اليسار ؟
Amman	Jordanian	عامل الصيانة قرب يوصل.	من فضلك . دُلني على مطعم معقول يهيئ جواً جميلا .
Doha	Emirati	عندي فلوس حق الأكل حق ثلاثة أيام.	لدي ما يغطي ثمن الوجبات لمدة ثلاثة أيام نقدا .
Cairo	Egyptian	عايز أأجر مركب بموتور .	أود أن أؤجر قارب بمحرك .
Cairo	Egyptian	عموما، إي يعني ممتاز، بي، جيد، سي، مقبول، دي، ضعيف، إف، راسب و آي، مش كامل. بعض المدارس بتسخدم زائد وناقص مع الحروف.	عموماً فإن (أ) يعني ممتاز ، و(ب) يعني جيد ، و(ج) يعني عادي ، و(د) يعني ضعيف ، و(هـ) يعني فشل ، و(و) يعني ناقص . وتضيف بعض المدارس علامة الناقص والزائد إلى هذه الحروف .
Cairo	Egyptian	ممكن آخد كولا، من فضلك؟	هل يمكن أن أخذ كولا ، من فضلك ؟
Doha	Emirati	وانا اشكرك. مع السلامة.	وشكرا . أتمنى لك يوماً سعيدا .
Cairo	Egyptian	اهلا. أتفضل أقعد.	هالوا . تفضل بالجلوس .
Salt	Jordanian	حاس حالي مش منيح . بقدر اثني كرسيي ؟	واحد كوكاكولا صغير من فضلك .
Cairo	Egyptian	عشرين دولار في الأول.	عشرون دولاراً مقدماً .
Cairo	Egyptian	يعني إن الفيلم ممكن مايكونش مناسب للأطفال تحت خمستاشر. فالأهالي يبقوا بيقرروا إذا كانوا هيسمحوا للأطفال تشوف الفيلم.	هذا يعني أن الفيلم ربما يكون غير مناسباً للأطفال تحت سن الخامسة عشر . لذلك فإن الآباء بحاجة إلى الأخذ بعين الاعتبار إذا ما كانوا سيدعون الأطفال يشاهدون الفيلم .
Doha	Emirati	هذي غرفة ستمية وواحد.	هذه غرفة رقم ستة صفر واحد .
Doha	Emirati	اي. هذي هو الكاونتر حق رحلة طيران يونايتد رقم ثمانمية وعشرين؟	نعم . هل هذه هي الطاولة الصحيحة للخطوط الجوية المتحدة رحلة ثمانية اثنين صفر ؟
Doha	Emirati	نقدر نستريح هني، اذا تبغي.	إذا كنت تودّ ، بإمكاننا الاستراحة هنا .
Cairo	Egyptian	ادي رخصة سواقتي الدوليه .	ها هي رخصة قيادتي الدولية .
Salt	Jordanian	شو التذكار التقليدي من هاوااي؟	عندما تصل هناك أسأل شخص آخر ، من فضلك .
Doha	Emirati	عندكم خرايط للطريق؟	هل لديك خرائط للطرق ؟
Cairo	Egyptian	انا بأسأل ان كان عندك تذاكر بتتباع في يوم العرض.	ترى ، هل لديكم أية تذاكر تُباع في يوم العَرْض ؟
Doha	Emirati	شنو الاماكن الزينة للزيارة؟	أين الأماكن الجميلة التي يمكنني زيارتها ؟
Cairo	Egyptian	عايز احطه في صندوق ايداع امن .	أود أن أضع ذلك في صندوق ودائع آمن .
Cairo	Egyptian	هاخد بولة آيس كريم جوز هند في بسكوته، لو سمحت.	سآخذ ملعقة كبيرة من آيس كريم جوز الهند فوق مخروط بسكويت ، من فضلك .
Cairo	Egyptian	انا اخدت قزازة العصير، بس ما اخدتش الباقي .	استلمت زجاجة عصير ولكني لم أحصل علي أي باقي .
Alexandria	Egyptian	هسألك بعد ما اتفرج.	هل لك أن تساعدني في الحصول على تذاكر .
Cairo	Egyptian	عاوز بسكوت .	أريد بعض البسكويت .
Doha	Emirati	لو سمحت ارسل هذي مسجل. بكم كامل؟	من فضلك أرسل هذا مسجل . كم التكلفة الإجمالية ؟
Cairo	Egyptian	فين متحف مونيه؟	أين متحف مونت ؟
